City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Kamenka,RU,51.3223,42.7678,65.48,94,100,9.69,overcast clouds
Sohbatpur,PK,28.5202,68.5434,92.84,49,65,10.07,broken clouds
Ronneby,SE,56.21,15.276,50.5,100,47,1.14,scattered clouds
Hauknes,NO,66.2833,14.0667,48.79,93,95,3.04,overcast clouds
Provincia di Imperia,IT,43.9667,7.7833,66.97,83,86,2.44,overcast clouds
Santiago de Cao,PE,-7.9589,-79.2392,66.33,77,0,10.36,clear sky
Jardim,BR,-21.4803,-56.1381,66.34,28,67,3.27,broken clouds
Varhaug,NO,58.6147,5.6457,55.47,77,69,10.56,broken clouds
Hasilpur,PK,29.7122,72.5553,95.16,46,44,6.91,scattered clouds
Departamento de Maldonado,UY,-34.6667,-54.9167,49.39,85,10,2.64,clear sky
Vila Franca do Campo,PT,37.7167,-25.4333,72.01,90,58,4.43,broken clouds
Moffat,GB,55.3323,-3.4454,58.6,94,49,1.79,scattered clouds
Camacha,PT,33.0833,-16.3333,68.76,73,40,13.8,scattered clouds
Henties Bay,NA,-22.116,14.2845,58.86,81,20,5.75,few clouds
Mandāwar,IN,29.5,78.1333,78.17,90,27,7.29,scattered clouds
Aquin,HT,18.2833,-73.4,81.68,75,97,4.23,overcast clouds
Tucuruí,BR,-3.7661,-49.6725,79.45,44,71,1.88,broken clouds
Black River,JM,18.0264,-77.8487,82.4,75,100,4.14,overcast clouds
Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,56.3,36,14,6.35,few clouds
Hurbanovo,SK,47.8698,18.1923,66.34,65,98,3.29,light rain
Isiro,CD,2.7739,27.616,65.25,98,59,0.67,broken clouds
Grootfontein,NA,-19.5667,18.1167,53.17,47,0,5.75,clear sky
Entre Rios,BR,-11.9419,-38.0844,63.7,92,82,3.56,broken clouds
Dāmghān,IR,36.1683,54.348,78.22,34,89,1.1,overcast clouds
Zhangaözen,KZ,43.3,52.8,87.6,19,56,11.07,broken clouds
Boende,CD,-0.2167,20.8667,78.46,44,84,0.94,broken clouds
Bajil,YE,15.0584,43.2851,89.04,64,89,3.76,overcast clouds
Havelock,US,34.8791,-76.9013,75.15,95,75,8.99,light rain
Bayāna,IN,26.9,77.2833,76.96,91,100,11.88,overcast clouds
Bayan,CN,46.0833,127.4,64.71,87,53,7.02,broken clouds
Muli,MV,2.9167,73.5667,82.11,72,100,3.98,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,93.31,66,0,2.3,clear sky
Kantemirovka,RU,49.7089,39.8592,65.07,86,70,12.39,broken clouds
Tazovsky,RU,67.4667,78.7,55.87,96,100,5.64,light rain
Savalou,BJ,7.9281,1.9756,74.68,89,87,4.07,overcast clouds
Marsabit,KE,2.3284,37.9899,63.61,60,37,22.06,scattered clouds
La Rioja,ES,42.25,-2.5,71.04,82,100,5.1,overcast clouds
Lamu,KE,-2.2717,40.902,73.62,83,57,15.86,broken clouds
Saint-François,FR,46.4154,3.9054,58.68,97,0,2.3,clear sky
Goundam,ML,16.4145,-3.6708,87.3,50,59,18.77,broken clouds
Mezhdurechenskiy,RU,59.6,65.9333,56.12,94,1,1.68,clear sky
Morros,BR,-9.4467,-46.3003,75.65,30,0,3.36,clear sky
Peniche,PT,39.3558,-9.3811,68.76,89,87,13.27,overcast clouds
Matara,LK,5.9485,80.5353,78.35,85,100,11.74,overcast clouds
Saint-Félicien,CA,48.6501,-72.4491,68.68,45,20,9.22,few clouds
Al Bardīyah,LY,31.7561,25.0865,81.86,75,0,11.61,clear sky
Sarkand,KZ,45.41,79.9186,74.05,27,100,5.95,overcast clouds
Moita Bonita,BR,-10.5775,-37.3428,72.57,84,67,6.89,broken clouds
Hāgere Selam,ET,6.4833,38.5167,48.38,97,93,3.51,overcast clouds
Bilma,NE,18.6853,12.9164,95.45,27,2,9.01,clear sky
Salinópolis,BR,-0.6136,-47.3561,79.12,80,93,6.24,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,56.88,86,91,21.52,overcast clouds
Maceió,BR,-9.6658,-35.7353,72.84,94,90,3.44,mist
Suna,RU,57.8338,50.0588,62.67,93,100,4.07,overcast clouds
Āsasa,ET,7.1,39.2,53.89,89,48,1.83,light rain
Kousséri,CM,12.0769,15.0306,82.36,78,20,4.61,few clouds
Gornopravdinsk,RU,60.05,69.9,54.82,94,81,4.65,broken clouds
Benghazi,LY,32.1167,20.0667,84.36,66,0,14.9,clear sky
Korla,CN,41.7597,86.1469,76.26,27,69,2.06,broken clouds
Pechory,RU,57.8164,27.6119,51.26,89,16,6.13,few clouds
Inírida,CO,3.8653,-67.9239,72.03,95,98,1.16,overcast clouds
Tianguá,BR,-3.7322,-40.9917,71.56,70,98,3.89,overcast clouds
Nador,MA,35.174,-2.9287,73.65,88,40,4.61,scattered clouds
Arklow,IE,52.7931,-6.1414,56.98,89,100,5.01,overcast clouds
Alvand,IR,36.3187,49.1678,62.82,67,82,5.28,broken clouds
Manbij,SY,36.5281,37.9549,88.57,30,2,11.52,clear sky
Robertsport,LR,6.7533,-11.3686,78.15,74,29,8.55,scattered clouds
Tabou,CI,4.423,-7.3528,75.94,83,79,6.71,broken clouds
Leningori,GE,42.126,44.4833,65.71,45,1,5.55,clear sky
Oktyabr'skoye,RU,43.0645,44.7417,64.54,88,2,4.47,clear sky
Rivadavia,AR,-33.1905,-68.4608,64.87,27,0,3.4,clear sky
Coxim,BR,-18.5067,-54.76,76.53,35,100,3.69,overcast clouds
Hanko,FI,59.8333,22.95,57.83,57,0,12.37,clear sky
Lubango,AO,-14.9172,13.4925,56.57,23,0,3.78,clear sky
Nuuk,GL,64.1835,-51.7216,46.6,87,70,9.26,broken clouds
Boa Vista,BR,2.8197,-60.6733,82.38,69,75,12.66,broken clouds
Pisco,PE,-13.7,-76.2167,64.45,77,75,5.75,broken clouds
Dingli,MT,35.8614,14.3822,81.81,89,0,6.91,clear sky
Brae,GB,60.3964,-1.353,55.31,86,100,8.08,overcast clouds
Aasiaat,GL,68.7098,-52.8699,38.61,97,76,5.1,broken clouds
Sinor,IN,21.9167,73.3333,79.03,87,100,12.1,overcast clouds
Puerto Ayacucho,VE,5.6639,-67.6236,72.03,92,100,1.66,overcast clouds
Ovalle,CL,-30.5983,-71.2003,62.94,58,0,2.04,clear sky
Hwange,ZW,-18.3693,26.5019,60.39,49,0,4.83,clear sky
Hofn,IS,64.2539,-15.2082,53.67,91,93,3.0,overcast clouds
Bam,IR,29.106,58.357,89.35,28,84,6.08,broken clouds
Mattru,SL,7.6244,-11.8332,72.36,87,42,1.54,scattered clouds
Bridlington,GB,54.0831,-0.1919,59.29,83,71,12.55,broken clouds
Chicama,PE,-7.8447,-79.1469,64.94,72,0,7.09,clear sky
Houndé,BF,11.5,-3.5167,73.71,91,99,7.99,overcast clouds
Liwale,TZ,-9.7667,37.9333,62.78,94,34,2.51,scattered clouds
Necochea,AR,-38.5473,-58.7368,48.04,65,91,4.36,overcast clouds
Rundu,NA,-17.9333,19.7667,56.84,39,0,4.59,clear sky
Inta,RU,66.0317,60.1659,58.32,83,45,6.38,scattered clouds
Valday,RU,57.9747,33.2525,51.28,91,3,6.89,clear sky
Dibulla,CO,11.2725,-73.3091,80.04,84,100,4.29,overcast clouds
Chimoré,BO,-16.9833,-65.1333,70.83,39,92,2.86,overcast clouds
Itororó,BR,-15.1169,-40.0703,63.61,82,81,1.92,broken clouds
Moose Factory,CA,51.2585,-80.6094,59.0,72,1,11.5,clear sky
Saint-Augustin,CA,51.226,-58.6502,63.41,72,100,19.53,overcast clouds
Leh,IN,34.1667,77.5833,62.74,46,33,4.74,scattered clouds
Narón,ES,43.5167,-8.1528,68.04,97,98,7.9,overcast clouds
Omboué,GA,-1.5746,9.2618,74.01,88,44,8.97,scattered clouds
Planaltina,BR,-15.4528,-47.6142,75.49,41,70,4.52,broken clouds
Aksarka,RU,66.5606,67.7975,53.11,89,0,4.54,clear sky
Akure,NG,7.2526,5.1931,71.01,98,99,2.37,overcast clouds
Pindwāra,IN,24.8,73.0667,76.14,91,100,9.17,light rain
Port-de-Bouc,FR,43.4,4.9833,71.82,71,75,4.61,broken clouds
Dunkwa,GH,5.9656,-1.78,72.81,98,96,3.71,light rain
The Valley,AI,18.217,-63.0578,85.86,78,40,11.5,scattered clouds
Tuzha,RU,57.6062,47.936,64.02,94,98,4.56,light rain
Banda Aceh,ID,5.5577,95.3222,79.5,80,99,14.74,overcast clouds
Umluj,SA,25.0213,37.2685,88.05,71,38,6.53,scattered clouds
Najrān,SA,17.4924,44.1277,84.85,57,49,8.77,scattered clouds
Katsina,NG,12.9894,7.6006,80.38,68,72,8.7,broken clouds
São Félix do Xingu,BR,-6.6447,-51.995,79.03,33,43,2.04,scattered clouds
Bouna,CI,9.2667,-3.0,72.7,91,79,5.73,broken clouds
Kassala,SD,15.451,36.4,77.5,71,99,10.25,overcast clouds
Kajaani,FI,64.2273,27.7285,50.05,87,100,16.11,light rain
Arzamas,RU,55.3949,43.8399,62.06,88,89,5.14,moderate rain
Bumba,CD,2.1833,22.4667,73.31,79,74,2.19,light rain
Prieska,ZA,-29.6641,22.7474,57.22,18,0,7.9,clear sky
Plettenberg Bay,ZA,-34.0527,23.3716,56.52,68,1,5.84,clear sky
Jacareacanga,BR,-6.2222,-57.7528,83.34,36,75,1.74,broken clouds
Itamarandiba,BR,-17.8572,-42.8589,61.14,65,94,4.45,overcast clouds
Moche,PE,-8.1711,-79.0092,66.38,77,0,10.36,clear sky
Paso de Carrasco,UY,-34.8603,-56.0522,51.94,76,0,0.0,clear sky
Kaura Namoda,NG,12.5898,6.5779,76.93,82,58,11.14,broken clouds
Virginia Beach,US,36.8529,-75.978,74.01,83,100,15.61,moderate rain
Kapoeta,SS,4.7717,33.5903,77.58,59,69,5.79,broken clouds
Pleven,BG,43.4167,24.6167,78.75,53,20,9.22,few clouds
Misratah,LY,32.3754,15.0925,83.89,71,0,9.28,clear sky
Kaputa,ZM,-8.4689,29.6619,67.77,51,0,0.87,clear sky
Tot'ma,RU,59.9747,42.7642,55.71,86,81,5.26,broken clouds
Aparecida do Taboado,BR,-20.0867,-51.0936,69.69,36,86,6.96,overcast clouds
Wattegama,LK,6.7989,81.4808,77.22,73,100,6.11,overcast clouds
Ongandjera,NA,-17.8833,15.0667,62.17,32,0,6.44,clear sky
Shubarshi,KZ,48.5872,57.1869,80.42,30,6,4.7,clear sky
Madridejos,ES,39.4682,-3.532,78.31,28,99,9.64,overcast clouds
Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,75.09,36,100,5.77,overcast clouds
Ippy,CF,6.2679,21.2247,67.03,97,37,3.36,scattered clouds
Feldbach,AT,46.9531,15.8883,64.15,93,100,3.87,overcast clouds
Agropoli,IT,40.3469,14.9966,79.66,55,43,5.28,scattered clouds
Mana,GF,5.6592,-53.7767,78.94,77,15,7.07,few clouds
Beira,MZ,-19.8436,34.8389,66.29,93,0,5.01,clear sky
Terrace Bay,CA,48.7834,-87.1,73.02,76,89,6.93,overcast clouds
Noyabrsk,RU,63.1994,75.4507,58.82,77,100,12.73,overcast clouds
Kouango,CF,4.9934,19.9619,70.48,94,63,3.33,broken clouds
Lucapa,AO,-8.4192,20.7447,66.97,30,1,3.49,clear sky
Savelugu,GH,9.6244,-0.8253,75.67,86,38,5.14,scattered clouds
Marsh Harbour,BS,26.5412,-77.0636,83.19,70,100,14.61,overcast clouds
Lerwick,GB,60.1545,-1.1494,55.4,88,96,9.64,overcast clouds
Caraí,BR,-17.1889,-41.6947,60.24,65,36,6.02,scattered clouds
Tubmanburg,LR,6.8708,-10.8172,72.07,88,51,0.2,broken clouds
San Rafael,AR,-34.6177,-68.3301,58.51,27,0,2.15,clear sky
Abu Samrah,SY,35.3029,37.1841,82.54,38,0,8.25,clear sky
Henderson,US,36.0397,-114.9819,110.82,11,1,12.66,clear sky
Xai-Xai,MZ,-25.0519,33.6442,60.08,79,0,6.51,clear sky
Ochakiv,UA,46.6128,31.5498,69.94,55,100,11.7,overcast clouds
Aku,NG,6.7081,7.3167,71.49,96,100,3.06,light rain
Giddarbāha,IN,30.2,74.6667,88.12,61,69,7.16,broken clouds
Goderich,CA,43.7501,-81.7165,73.9,53,0,4.61,clear sky
Porlamar,VE,10.958,-63.8491,86.09,66,24,11.5,few clouds
Sharan,RU,54.8167,54.0,72.48,42,36,3.38,scattered clouds
Madawaska,US,47.3561,-68.3288,73.45,68,75,10.36,broken clouds
Talcahuano,CL,-36.7167,-73.1167,58.68,77,0,4.61,clear sky
Port-Gentil,GA,-0.7193,8.7815,76.96,83,75,11.5,broken clouds
Santa Marta,CO,11.2408,-74.199,83.98,82,100,6.31,overcast clouds
Tahoua,NE,14.8888,5.2692,89.73,45,44,12.5,scattered clouds
Seohāra,IN,29.2167,78.5833,79.25,83,41,9.06,scattered clouds
Florianópolis,BR,-27.6146,-48.5012,60.62,78,0,1.01,clear sky
Oberá,AR,-27.4871,-55.1199,51.69,75,100,2.93,overcast clouds
Malakal,SS,9.5334,31.6605,72.73,89,98,3.47,overcast clouds
Pangoa,PE,-12.1167,-73.0,70.74,62,6,3.29,clear sky
Mporokoso,ZM,-9.3727,30.125,57.87,46,1,6.33,clear sky
Kalmunai,LK,7.4167,81.8167,80.22,72,100,4.25,overcast clouds
Sainte-Suzanne,RE,-20.9061,55.6089,68.22,68,0,10.36,clear sky
Luanda,AO,-8.8368,13.2343,69.8,94,75,9.22,broken clouds
Kirkenær,NO,60.4564,12.0582,51.46,77,52,1.07,broken clouds
Tarnów,PL,50.0138,20.987,61.72,85,79,5.79,broken clouds
Syracuse,IT,37.0881,15.2792,82.62,69,1,5.35,clear sky
Torbat-e Jām,IR,35.244,60.6225,77.25,16,0,12.39,clear sky
Kharan,PK,28.5833,65.4167,85.24,11,0,4.99,clear sky
Lyngseidet,NO,69.5763,20.2189,48.29,86,100,2.91,overcast clouds
Ayorou,NE,14.7308,0.9174,95.4,34,43,4.68,scattered clouds
Road Town,VG,18.4167,-64.6167,84.24,74,40,8.05,scattered clouds
Impfondo,CG,1.6381,18.0667,76.73,63,70,2.82,broken clouds
Chantilly,US,38.8943,-77.4311,80.55,59,75,3.0,broken clouds
Bereket,TM,39.2446,55.5154,86.5,30,2,8.34,clear sky
Malanje,AO,-9.5402,16.341,67.59,30,3,3.33,clear sky
Bishop Auckland,GB,54.6555,-1.6771,59.25,81,55,3.4,broken clouds
La Rochelle,FR,46.1667,-1.15,64.47,94,75,11.5,light rain
Canary Islands,ES,28.0,-15.5,66.4,70,20,16.11,few clouds
Maragogi,BR,-9.0122,-35.2225,71.96,90,48,8.97,scattered clouds
Owando,CG,-0.4819,15.8999,80.31,52,94,3.89,overcast clouds
Purpe,RU,64.4803,76.6897,59.18,91,100,8.86,overcast clouds
Pakpattan,PK,30.341,73.3866,91.22,52,51,11.63,broken clouds
Coihueco,CL,-36.6167,-71.8333,61.54,67,0,4.61,clear sky
Zaria,NG,11.1113,7.7227,70.9,93,92,7.36,overcast clouds
Krasyliv,UA,49.6519,26.9725,58.06,69,10,2.8,clear sky
Piaçabuçu,BR,-10.4056,-36.4344,71.67,86,72,9.37,broken clouds
Sujangarh,IN,27.7011,74.4649,78.96,84,54,6.85,broken clouds
Gazojak,TM,41.1875,61.4036,85.66,22,19,12.55,few clouds
Lapta,CY,35.3375,33.1792,86.29,69,0,10.96,clear sky
Vágur,FO,61.4732,-6.8119,53.01,89,100,8.9,overcast clouds
Bud,US,39.447,-86.1758,80.58,48,38,3.42,scattered clouds
Barabinsk,RU,55.3571,78.357,57.72,93,95,1.77,light rain
Glen Allen,US,37.666,-77.5064,78.1,65,1,7.0,clear sky
Sirte,LY,31.2089,16.5887,82.8,78,0,8.81,clear sky
Obo,CF,5.3998,26.4869,66.54,97,18,1.66,few clouds
Port Hawkesbury,CA,45.6169,-61.3485,70.72,69,1,3.0,clear sky
Tyumentsevo,RU,53.3224,81.498,60.17,74,95,4.23,overcast clouds
Manaus,BR,-3.1019,-60.025,86.5,74,75,0.0,broken clouds
Bria,CF,6.5423,21.9863,67.17,98,21,4.14,few clouds
Tartous,SY,34.889,35.8866,79.41,69,0,3.89,clear sky
Saint-Gabriel,CA,46.3001,-73.3824,75.02,83,56,6.76,broken clouds
Fatezh,RU,52.0891,35.8632,60.78,75,39,4.23,scattered clouds
Ormara,PK,25.2088,64.6357,80.73,84,86,17.72,overcast clouds
Dhidhdhoo,MV,6.8833,73.1,81.61,78,100,10.42,overcast clouds
Cártama,ES,36.7107,-4.633,76.42,78,0,1.14,clear sky
Mumford,GH,5.2618,-0.759,75.99,92,66,12.06,light rain
Eirunepé,BR,-6.6603,-69.8736,78.08,43,4,1.88,clear sky
Saint-André-Avellin,CA,45.7168,-75.066,76.6,76,80,4.38,broken clouds
Panama City,PA,8.9936,-79.5197,79.38,86,75,1.01,broken clouds
Constantine,DZ,36.365,6.6147,81.81,44,0,2.3,clear sky
Senno,RU,59.5336,33.9167,54.27,94,40,8.48,scattered clouds
Oruzgan,AF,32.8333,66.0,72.19,16,1,3.02,clear sky
Yumbe,UG,3.4651,31.2469,62.92,93,55,1.68,light rain
Praia da Vitória,PT,38.7333,-27.0667,75.45,78,20,6.85,few clouds
Beloha,MG,-25.1667,45.05,61.48,74,73,13.24,broken clouds
West Bay,KY,19.3667,-81.4167,84.99,73,75,3.0,broken clouds
Gori,GE,41.9842,44.1158,65.48,46,2,1.7,clear sky
Richards Bay,ZA,-28.783,32.0377,64.4,75,0,17.05,clear sky
Tefé,BR,-3.3542,-64.7114,84.31,74,20,3.44,few clouds
Nantucket,US,41.2835,-70.0995,73.02,87,1,9.22,clear sky
Šibenik,HR,43.7272,15.9058,74.86,52,22,4.23,few clouds
Mazamet,FR,43.49,2.373,71.08,88,0,6.91,clear sky
Freeport,US,40.6576,-73.5832,78.76,60,1,1.99,clear sky
Dmitriyevka,RU,54.75,55.3333,69.35,47,10,0.87,clear sky
Ubari,LY,26.5921,12.7805,88.34,12,0,7.11,clear sky
Zhezkazgan,KZ,47.8043,67.7144,75.49,36,63,7.2,broken clouds
Garoowe,SO,8.4054,48.4845,78.12,58,45,27.69,scattered clouds
Polunochnoye,RU,60.8697,60.4153,56.28,88,62,4.36,broken clouds
Baltasi,RU,56.3462,50.2062,66.07,85,70,1.07,broken clouds
Hualmay,PE,-11.0964,-77.6139,65.44,80,10,9.95,clear sky
Front Royal,US,38.9182,-78.1944,80.38,56,1,8.05,clear sky
Miquelon,PM,47.0975,-56.3814,59.77,90,22,16.4,few clouds
Calatayud,ES,41.3535,-1.6432,73.98,40,95,1.39,overcast clouds
Barkā Kānā,IN,23.6167,85.4833,80.44,87,100,5.95,light rain
Kutno,PL,52.2306,19.3641,63.18,87,100,4.88,light rain
Barra do Garças,BR,-15.89,-52.2567,77.68,31,65,0.69,broken clouds
Niquero,CU,20.0431,-77.5828,83.01,74,49,4.79,light rain
Parabel',RU,58.6978,81.4825,55.81,89,75,2.21,broken clouds
Montluçon,FR,46.3333,2.6,57.7,97,91,4.23,overcast clouds
Miranda,CO,3.2499,-76.2281,78.93,62,99,2.91,overcast clouds
San Antonio,US,29.4241,-98.4936,93.11,54,20,4.61,few clouds
Eydhafushi,MV,5.1033,73.0708,81.84,76,97,6.67,overcast clouds
Inhambane,MZ,-23.865,35.3833,63.37,68,0,7.11,clear sky
Suleja,NG,9.1758,7.1808,74.39,89,100,1.5,light rain
Ust-Tsilma,RU,65.441,52.1498,62.29,93,100,5.12,overcast clouds
Komatipoort,ZA,-25.4332,31.9548,52.05,86,0,1.92,clear sky
Zwedru,LR,6.0667,-8.1281,71.71,88,92,3.65,overcast clouds
Mahon,ES,39.8885,4.2658,72.16,78,0,3.44,clear sky
Derzhavīnsk,KZ,51.1,66.3167,69.66,58,36,1.7,scattered clouds
Bukoba,TZ,-1.3317,31.8122,71.31,58,86,2.21,overcast clouds
Rørvik,NO,64.8621,11.2373,53.13,71,34,2.71,scattered clouds
Benidorm,ES,38.5382,-0.131,78.26,70,33,12.17,scattered clouds
Bongandanga,CD,1.5,21.05,75.43,61,76,1.81,broken clouds
Scarborough,GB,54.2797,-0.4044,58.91,83,74,4.0,broken clouds
Rurrenabaque,BO,-14.4413,-67.5278,71.83,49,33,2.33,scattered clouds
Atkarsk,RU,51.8718,45.0078,67.01,82,100,6.31,overcast clouds
Nova Olímpia,BR,-14.7972,-57.2881,76.21,36,55,2.95,broken clouds
Monrovia,LR,6.3005,-10.7969,77.04,79,29,7.47,scattered clouds
Wajir,KE,1.7471,40.0573,75.04,56,44,15.55,scattered clouds
Qaqortoq,GL,60.7167,-46.0333,45.97,92,100,6.87,light rain
Mabaruma,GY,8.2,-59.7833,75.6,85,79,2.77,broken clouds
Lafiagi,NG,8.8667,5.4167,74.84,90,96,2.24,light rain
Usinsk,RU,65.9939,57.5281,58.19,86,93,11.18,overcast clouds
Lusambo,CD,-4.9667,23.45,71.08,39,46,1.57,scattered clouds
Pizarro,CO,4.9533,-77.366,79.18,85,95,7.76,overcast clouds
Riyadh,SA,24.6877,46.7219,91.54,10,65,4.72,broken clouds
Bonavista,CA,48.6499,-53.1147,69.8,74,67,10.04,broken clouds
Port Shepstone,ZA,-30.7414,30.455,62.85,79,4,4.81,clear sky
Dakar,SN,14.6937,-17.4441,78.93,94,40,2.3,scattered clouds
El Cerrito,CO,3.6855,-76.3137,80.28,50,75,5.75,broken clouds
Corrente,BR,-3.7367,-43.3394,76.08,49,23,1.12,few clouds
Touros,BR,-5.1989,-35.4608,74.3,78,86,18.97,overcast clouds
Shchigry,RU,51.8755,36.9043,60.62,82,5,4.34,clear sky
Chissamba,AO,-12.1667,17.3333,60.76,34,0,2.8,clear sky
Tarko-Sale,RU,64.9225,77.785,59.2,89,100,7.07,overcast clouds
Bathurst,AU,-33.4166,149.5806,41.97,81,99,5.01,overcast clouds
Cerquilho,BR,-23.165,-47.7436,61.63,79,98,11.77,overcast clouds
Étaples,FR,50.5219,1.6332,57.87,94,11,2.3,few clouds
Leshukonskoye,RU,64.8989,45.7622,55.92,93,2,7.43,clear sky
Tsimmerbude,RU,54.675,20.1347,57.25,81,72,2.37,broken clouds
Palmares do Sul,BR,-30.2578,-50.5097,53.47,94,36,4.85,scattered clouds
Ballina,AU,-28.8667,153.5667,57.78,54,0,9.22,clear sky
Mezhdurechensk,RU,53.6942,88.0603,56.98,96,96,3.42,overcast clouds
Kidal,ML,18.4411,1.4078,88.95,38,84,13.87,broken clouds
Mubi,NG,10.2676,13.2644,72.54,84,91,3.47,overcast clouds
Ihosy,MG,-22.4,46.1167,58.35,86,87,12.64,overcast clouds
Igarka,RU,67.4667,86.5833,57.74,90,27,6.58,scattered clouds
Santana do Livramento,BR,-30.8908,-55.5328,50.23,82,4,5.17,clear sky
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.8,37,91,5.06,overcast clouds
Yako,BF,12.9667,-2.2667,80.06,66,30,6.96,scattered clouds
Shakawe,BW,-18.3667,21.85,57.43,32,0,3.69,clear sky
Polovinnoye,RU,54.7914,65.9864,62.56,78,8,6.24,clear sky
Abramovka,RU,51.1886,41.0202,65.19,94,100,2.26,moderate rain
Arrondissement de Niort,FR,46.3333,-0.3333,63.59,89,96,1.01,overcast clouds
Strezhevoy,RU,60.7333,77.5889,57.18,95,99,5.3,overcast clouds
Sakakah,SA,29.9697,40.2064,90.97,15,0,6.96,clear sky
Teguise,ES,29.0605,-13.564,68.22,73,20,11.5,few clouds
Guiratinga,BR,-16.3494,-53.7583,74.3,30,56,3.74,broken clouds
Afrikanda,RU,67.4429,32.7828,48.92,100,100,19.39,overcast clouds
Zuwārah,LY,32.9312,12.082,86.45,52,0,16.17,clear sky
Aljezur,PT,37.3191,-8.8033,64.36,80,74,13.67,broken clouds
Gainesville,US,29.6516,-82.3248,80.78,90,40,4.61,light rain
Tarabuco,BO,-19.1667,-64.9167,44.89,57,56,9.28,broken clouds
Borgarnes,IS,64.5383,-21.9206,55.45,96,100,1.61,overcast clouds
Toruń,PL,53.0137,18.5981,63.52,81,100,0.98,overcast clouds
Praia,CV,14.9215,-23.5087,75.74,94,90,13.8,light intensity drizzle
Augustów,PL,53.8432,22.9798,55.56,86,74,4.27,broken clouds
Arrondissement de Bastia,FR,42.6667,9.3333,74.3,60,0,3.44,clear sky
Kangaba,ML,11.9333,-8.4167,73.83,92,93,4.09,overcast clouds
Buenaventura,CO,3.8801,-77.0312,77.09,93,100,1.23,overcast clouds
Sylvania,US,41.7189,-83.713,79.38,48,1,0.0,clear sky
